site,sp,dbh
1,Iriartea deltoidea,12.1
1,Iriartea deltoidea,12.5
1,Carapa guianensis,6.7
1,Unonopsis pittieri,6.4
1,Psychotria panamensis,7.8
1,Symphonia globulifera,6.9
1,Dystovomita Pittier,7.5
1,Cymbopetalum costaricense,6.5
1,Cryosophila warscewiczii,7.2
1,Jacaratia dolichaula,6.7
1,Miconia multispicata,6
1,Ocotea cernua,9
1,Pouteria glomerata,6.3
1,Anaxagorea crassipetala,5.2
1,Euterpe precatoria,7.1
1,Conostegia micranta,6.8
1,Prestoea decurrens,6
1,Pentaclethra macroloba,6.7
1,Rinorea deflexiflora,5.3
1,Iriartea deltoidea,6.3
1,Protium panamensis,5.9
1,Apeiba membranacea,6
1,Lonchocarpus oliganthus,5.8
1,Prestoea decurrens,5.5
1,Socratea exorrhiza,6.1
1,Socratea exorrhiza,5.9
1,Pentaclethra macroloba,7.4
1,Iriartea deltoidea,6.2
1,Minquartia guianensis,5.9
1,Pouteria glomerata,5.4
1,Pourouma minor,6.4
1,Xylopia bocatorena,5.5
1,Hernandia didymantha,5.8
1,Psychotria panamensis,5.4
1,Inga jinicuil,5.1
1,Virola koschnyi,5.9
1,Pourouma bicolor,5.5
1,Iriartea deltoidea,9.1
1,Prestoea decurrens,6.4
1,Miconia multispicata,6.9
1,Miconia multispicata,6.9
1,Rinorea deflexiflora,7.3
1,Cecropia insignis,7
1,Miconia multispicata,6.8
1,Iriartea deltoidea,6
1,Posoqueria panamensis,6.2
1,Iriartea deltoidea,6.6
1,Prestoea decurrens,5.7
1,Rauvolfia purpurascens,23.8
1,Coussarea hondensis,7.8
1,Theobroma mammosum,11.7
2,Swartzia ochnacea,14.6
2,Swartzia simplex,8.2
2,Trophis involucrata,7.1
2,Hymenolobium mesoamericanum,39.5
2,Pentaclethra macroloba,9.6
2,Ocotea meziana,8.2
2,Dystovomita paniculata,7
2,Henriettea tuberculosa,6.5
2,Pentaclethra macroloba,7.9
2,Dendropanax arboreus,29.4
